,GEO,grade,home_ownership,initial_list_status,purpose,term,verification_status,emp_length,last_fico_range_high,total_rec_prncp,int_rate
83024,I,B,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,< 1 year,669.0,358.19,10.15
41506,E,C,RENT,w,debt_consolidation, 60 months,Source Verified,10+ years,569.0,3886.34,13.35
54043,W,C,MORTGAGE,w,home_improvement, 36 months,Verified,,684.0,15000.0,14.99
77050,E,E,MORTGAGE,f,debt_consolidation, 60 months,Verified,6 years,589.0,3827.92,20.99
14769,I,C,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,< 1 year,559.0,6809.03,12.99
58190,E,G,RENT,w,debt_consolidation, 60 months,Source Verified,10+ years,499.0,5423.62,25.89
9254,E,F,RENT,f,debt_consolidation, 36 months,Verified,10+ years,499.0,3175.0,23.99
67185,E,D,RENT,f,debt_consolidation, 36 months,Source Verified,10+ years,664.0,5000.0,15.61
48932,W,C,RENT,w,debt_consolidation, 60 months,Source Verified,8 years,554.0,3398.8,14.99
82381,W,C,RENT,f,debt_consolidation, 36 months,Not Verified,10+ years,679.0,4000.0,13.35
67097,I,C,RENT,w,debt_consolidation, 60 months,Source Verified,3 years,709.0,15000.0,14.49
96678,W,C,RENT,w,debt_consolidation, 36 months,Not Verified,5 years,749.0,4000.0,13.35
94599,I,B,MORTGAGE,w,debt_consolidation, 36 months,Source Verified,9 years,779.0,6200.0,10.15
96137,E,A,RENT,f,debt_consolidation, 36 months,Not Verified,1 year,769.0,11000.0,7.69
32695,I,B,MORTGAGE,w,debt_consolidation, 36 months,Source Verified,5 years,679.0,12000.0,11.67
32256,I,A,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,10+ years,784.0,10000.0,6.03
75562,I,C,MORTGAGE,f,debt_consolidation, 36 months,Not Verified,9 years,569.0,7051.1,14.49
98077,I,C,RENT,f,debt_consolidation, 36 months,Not Verified,8 years,544.0,8369.39,12.99
87878,W,C,MORTGAGE,f,debt_consolidation, 36 months,Verified,< 1 year,699.0,35000.0,13.35
53346,I,D,MORTGAGE,f,debt_consolidation, 36 months,Source Verified,10+ years,614.0,1580.56,17.57
95925,I,D,OWN,f,debt_consolidation, 36 months,Source Verified,10+ years,504.0,8276.53,16.99
47501,E,B,RENT,w,credit_card, 36 months,Not Verified,3 years,499.0,1764.42,12.49
7998,E,C,RENT,f,credit_card, 36 months,Not Verified,10+ years,534.0,3989.16,12.99
72628,W,B,RENT,w,debt_consolidation, 36 months,Not Verified,3 years,509.0,4692.22,12.49
6299,I,D,RENT,f,other, 36 months,Verified,10+ years,519.0,3063.0,15.99
95273,W,D,RENT,w,debt_consolidation, 60 months,Verified,6 years,499.0,9824.95,15.61
97619,E,D,MORTGAGE,f,debt_consolidation, 60 months,Source Verified,6 years,644.0,4940.7,16.99
10811,E,B,MORTGAGE,f,credit_card, 36 months,Source Verified,8 years,739.0,16000.0,8.67
65939,I,B,MORTGAGE,f,debt_consolidation, 36 months,Not Verified,< 1 year,684.0,17000.0,11.67
5751,I,A,MORTGAGE,w,credit_card, 36 months,Not Verified,1 year,534.0,9036.04,6.49
15582,I,B,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,2 years,599.0,9908.9,10.49
29772,I,B,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,10+ years,699.0,28000.0,10.49
32299,I,A,MORTGAGE,f,credit_card, 36 months,Source Verified,2 years,569.0,4222.45,8.39
40301,I,C,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,< 1 year,499.0,3464.67,13.98
92117,I,C,MORTGAGE,w,debt_consolidation, 36 months,Source Verified,< 1 year,669.0,1409.57,12.99
17405,I,A,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,7 years,799.0,15000.0,6.49
48027,I,F,MORTGAGE,w,debt_consolidation, 60 months,Verified,< 1 year,559.0,3316.13,24.08
96287,I,A,MORTGAGE,f,debt_consolidation, 36 months,Not Verified,10+ years,624.0,2002.0,7.69
56022,I,E,MORTGAGE,f,credit_card, 36 months,Source Verified,9 years,499.0,816.8,18.99
9246,I,C,MORTGAGE,w,debt_consolidation, 36 months,Verified,,804.0,4374.31,14.31
94398,W,C,RENT,w,debt_consolidation, 36 months,Source Verified,6 years,499.0,8360.14,12.99
97180,E,C,MORTGAGE,f,debt_consolidation, 60 months,Not Verified,< 1 year,569.0,4822.78,14.49
64201,E,D,RENT,f,debt_consolidation, 36 months,Not Verified,10+ years,709.0,11000.0,15.61
64322,W,D,RENT,w,debt_consolidation, 60 months,Verified,6 years,694.0,13250.0,16.99
91894,E,D,MORTGAGE,w,home_improvement, 36 months,Verified,2 years,539.0,2246.48,18.24
30601,I,E,MORTGAGE,w,credit_card, 60 months,Verified,10+ years,689.0,14650.0,18.54
58218,E,B,MORTGAGE,f,debt_consolidation, 36 months,Not Verified,10+ years,724.0,11000.0,12.49
62994,I,D,MORTGAGE,w,debt_consolidation, 36 months,Source Verified,9 years,504.0,2445.24,16.29
36665,E,C,MORTGAGE,w,debt_consolidation, 36 months,Source Verified,10+ years,724.0,23075.0,14.99
98093,E,E,RENT,f,debt_consolidation, 60 months,Source Verified,10+ years,504.0,12200.0,22.15
76418,I,A,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,10+ years,659.0,15000.0,8.39
19818,I,C,OWN,w,credit_card, 60 months,Verified,10+ years,544.0,7619.13,14.99
67708,W,C,RENT,w,home_improvement, 60 months,Source Verified,10+ years,719.0,2873.93,13.35
26108,E,B,MORTGAGE,w,credit_card, 36 months,Not Verified,10+ years,659.0,4800.0,10.49
60594,E,D,RENT,w,debt_consolidation, 36 months,Verified,6 years,654.0,10325.0,15.61
71691,E,A,RENT,f,debt_consolidation, 36 months,Source Verified,1 year,684.0,18000.0,7.12
23133,E,E,MORTGAGE,w,debt_consolidation, 60 months,Verified,9 years,554.0,21600.0,21.99
45696,I,D,MORTGAGE,w,debt_consolidation, 60 months,Verified,4 years,639.0,4472.42,15.61
92154,I,C,MORTGAGE,f,debt_consolidation, 36 months,Source Verified,10+ years,704.0,12000.0,13.35
81659,I,C,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,< 1 year,594.0,2550.0,13.98
57450,E,C,RENT,f,debt_consolidation, 36 months,Not Verified,1 year,664.0,1478.02,13.98
35183,E,C,RENT,w,debt_consolidation, 60 months,Source Verified,< 1 year,704.0,10000.0,13.35
23267,E,D,MORTGAGE,f,debt_consolidation, 36 months,Verified,,589.0,8152.56,15.59
49505,I,C,RENT,w,debt_consolidation, 60 months,Source Verified,2 years,734.0,20000.0,12.99
76242,E,B,RENT,w,debt_consolidation, 36 months,Not Verified,8 years,639.0,7200.0,11.67
72333,I,B,MORTGAGE,f,debt_consolidation, 36 months,Source Verified,6 years,724.0,10000.0,9.17
2613,E,D,RENT,w,debt_consolidation, 60 months,Verified,9 years,499.0,6882.08,15.99
38494,I,C,MORTGAGE,f,credit_card, 36 months,Verified,6 years,714.0,9600.0,12.99
38401,E,B,RENT,f,credit_card, 36 months,Verified,10+ years,619.0,3109.81,10.99
71266,E,F,RENT,f,credit_card, 60 months,Source Verified,2 years,594.0,557.59,24.08
25050,E,C,RENT,f,debt_consolidation, 36 months,Not Verified,1 year,724.0,6000.0,12.39
18014,I,C,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,10+ years,584.0,16000.0,12.99
47574,E,A,RENT,w,credit_card, 36 months,Not Verified,5 years,784.0,10700.0,6.49
8414,W,C,OWN,w,debt_consolidation, 60 months,Not Verified,2 years,649.0,1212.02,12.39
59156,E,E,RENT,w,debt_consolidation, 60 months,Source Verified,4 years,509.0,2666.85,18.99
7031,I,A,MORTGAGE,f,credit_card, 36 months,Source Verified,4 years,544.0,13995.48,7.49
56486,E,C,MORTGAGE,f,debt_consolidation, 36 months,Not Verified,7 years,664.0,9586.73,12.99
97100,I,D,MORTGAGE,f,debt_consolidation, 36 months,Source Verified,10+ years,569.0,11375.0,15.61
63704,I,B,OWN,w,debt_consolidation, 36 months,Verified,10+ years,709.0,6000.0,12.49
47307,E,A,OWN,w,home_improvement, 36 months,Verified,,684.0,15000.0,7.69
82281,E,F,RENT,f,moving, 36 months,Not Verified,10+ years,609.0,1128.4,24.08
85073,E,B,RENT,w,credit_card, 36 months,Source Verified,10+ years,709.0,18000.0,12.49
38313,I,B,RENT,w,debt_consolidation, 36 months,Source Verified,,669.0,3000.0,10.99
69886,I,D,MORTGAGE,f,credit_card, 36 months,Verified,10+ years,604.0,12231.04,17.57
15477,E,C,OWN,w,debt_consolidation, 60 months,Not Verified,10+ years,674.0,15850.0,12.99
60266,E,C,MORTGAGE,w,debt_consolidation, 36 months,Verified,10+ years,729.0,20000.0,12.99
54749,E,D,MORTGAGE,w,debt_consolidation, 60 months,Not Verified,10+ years,749.0,10850.0,16.99
19621,E,E,RENT,f,other, 36 months,Source Verified,3 years,589.0,3704.91,19.99
10108,E,C,RENT,w,credit_card, 36 months,Source Verified,3 years,499.0,704.78,12.99
17490,I,B,OWN,f,debt_consolidation, 36 months,Not Verified,1 year,699.0,5600.0,11.44
33484,W,B,OWN,f,debt_consolidation, 36 months,Source Verified,8 years,609.0,9631.99,9.17
43351,I,C,MORTGAGE,w,debt_consolidation, 60 months,Verified,2 years,499.0,6859.39,14.49
682,W,B,MORTGAGE,f,car, 36 months,Verified,1 year,779.0,5400.0,10.49
58474,E,D,MORTGAGE,f,debt_consolidation, 60 months,Not Verified,10+ years,499.0,3353.44,15.61
2864,E,A,RENT,f,debt_consolidation, 36 months,Source Verified,7 years,714.0,5000.0,7.49
14529,I,D,MORTGAGE,w,debt_consolidation, 60 months,Verified,4 years,659.0,3340.78,17.86
90450,W,D,RENT,w,debt_consolidation, 60 months,Source Verified,3 years,554.0,2827.0,15.61
45418,I,A,OWN,w,debt_consolidation, 36 months,Not Verified,3 years,774.0,12800.0,7.69
6811,E,B,MORTGAGE,f,major_purchase, 36 months,Not Verified,10+ years,709.0,2500.0,11.99
88734,E,D,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,10+ years,504.0,10304.99,16.99
96956,I,B,RENT,f,debt_consolidation, 36 months,Source Verified,2 years,694.0,5000.0,10.15
2644,I,E,RENT,f,debt_consolidation, 36 months,Source Verified,5 years,499.0,2503.17,20.99
93086,I,E,RENT,f,credit_card, 36 months,Source Verified,10+ years,719.0,14375.0,20.2
97108,E,B,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,10+ years,499.0,1529.52,12.49
36958,W,E,MORTGAGE,w,home_improvement, 60 months,Verified,2 years,534.0,8263.29,22.15
29374,E,D,RENT,w,debt_consolidation, 36 months,Verified,,499.0,3056.24,17.86
1962,E,D,MORTGAGE,f,debt_consolidation, 36 months,Not Verified,10+ years,699.0,10150.0,15.59
37462,I,E,RENT,w,moving, 36 months,Not Verified,2 years,669.0,4000.0,20.99
4853,E,C,RENT,w,debt_consolidation, 60 months,Source Verified,10+ years,564.0,2241.45,12.99
19769,E,C,MORTGAGE,w,debt_consolidation, 60 months,Verified,1 year,664.0,35000.0,13.66
98458,W,B,MORTGAGE,w,credit_card, 36 months,Verified,10+ years,649.0,11400.0,10.15
25179,E,B,MORTGAGE,w,credit_card, 36 months,Not Verified,2 years,624.0,1857.03,8.67
59074,E,C,OWN,f,credit_card, 36 months,Verified,4 years,584.0,9574.67,14.99
27182,I,E,MORTGAGE,f,debt_consolidation, 36 months,Verified,10+ years,544.0,17400.4,18.54
42861,I,A,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,< 1 year,794.0,9000.0,8.39
42892,W,B,OWN,w,debt_consolidation, 36 months,Verified,10+ years,639.0,18951.87,10.99
56721,E,C,RENT,w,debt_consolidation, 36 months,Source Verified,10+ years,579.0,1274.22,13.98
13356,E,D,RENT,f,debt_consolidation, 36 months,Source Verified,10+ years,539.0,1701.41,17.14
63545,I,E,MORTGAGE,w,credit_card, 60 months,Verified,10+ years,684.0,20000.0,19.52
94896,E,C,MORTGAGE,f,debt_consolidation, 36 months,Source Verified,5 years,734.0,20000.0,12.99
76095,E,A,MORTGAGE,w,credit_card, 36 months,Not Verified,< 1 year,669.0,9250.0,6.49
4516,I,C,OWN,f,credit_card, 36 months,Not Verified,< 1 year,764.0,4800.0,14.31
60233,W,D,RENT,w,debt_consolidation, 60 months,Source Verified,9 years,499.0,5459.88,16.29
20500,E,A,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,10+ years,569.0,1496.23,8.19
92302,I,C,RENT,w,debt_consolidation, 36 months,Verified,10+ years,624.0,21618.79,14.49
65902,E,E,RENT,f,debt_consolidation, 36 months,Verified,6 years,659.0,29600.0,19.52
97582,E,B,MORTGAGE,f,debt_consolidation, 60 months,Source Verified,,559.0,7232.0,10.99
15742,W,A,RENT,w,credit_card, 36 months,Not Verified,7 years,589.0,4201.96,8.19
17656,I,D,RENT,w,debt_consolidation, 36 months,Not Verified,10+ years,699.0,16525.0,15.59
69836,I,D,MORTGAGE,f,debt_consolidation, 36 months,Source Verified,10+ years,539.0,8030.16,18.24
28779,E,B,MORTGAGE,w,debt_consolidation, 36 months,Verified,,794.0,24000.0,10.49
70191,E,C,MORTGAGE,f,debt_consolidation, 60 months,Verified,10+ years,824.0,33150.0,14.99
33102,E,D,RENT,w,debt_consolidation, 60 months,Source Verified,5 years,709.0,28000.0,17.57
52896,I,F,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,6 years,654.0,1606.64,23.43
99169,E,D,OWN,w,debt_consolidation, 36 months,Verified,9 years,684.0,7150.0,16.99
50234,E,C,OWN,f,debt_consolidation, 36 months,Source Verified,10+ years,529.0,2557.17,14.99
64587,E,B,RENT,f,credit_card, 36 months,Verified,5 years,534.0,8333.85,12.49
86201,I,D,MORTGAGE,f,debt_consolidation, 60 months,Source Verified,10+ years,499.0,4457.13,16.99
20484,I,D,RENT,f,debt_consolidation, 36 months,Verified,4 years,749.0,10000.0,17.14
37135,I,A,RENT,w,credit_card, 36 months,Not Verified,2 years,714.0,10000.0,7.69
90877,E,C,RENT,f,debt_consolidation, 36 months,Not Verified,10+ years,709.0,30000.0,13.98
21835,E,D,OWN,f,debt_consolidation, 36 months,Verified,10+ years,504.0,8168.69,15.59
77876,W,A,MORTGAGE,w,debt_consolidation, 36 months,Source Verified,4 years,684.0,24000.0,7.12
97111,E,B,MORTGAGE,w,debt_consolidation, 36 months,Source Verified,10+ years,649.0,20000.0,10.15
97744,I,B,MORTGAGE,f,debt_consolidation, 36 months,Not Verified,6 years,629.0,12000.0,9.17
65139,I,C,MORTGAGE,w,credit_card, 36 months,Verified,,624.0,4827.15,13.35
75318,I,D,RENT,f,credit_card, 60 months,Source Verified,1 year,604.0,3518.93,16.99
80020,E,A,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,9 years,804.0,8000.0,6.03
32521,I,C,MORTGAGE,w,debt_consolidation, 36 months,Source Verified,3 years,699.0,10000.0,12.99
68844,W,B,MORTGAGE,w,debt_consolidation, 36 months,Source Verified,6 years,564.0,4924.18,11.67
73659,I,C,RENT,f,credit_card, 36 months,Not Verified,6 years,509.0,10000.0,12.99
31561,E,D,RENT,f,credit_card, 36 months,Not Verified,< 1 year,499.0,1800.76,17.14
54733,E,C,MORTGAGE,w,debt_consolidation, 36 months,Verified,5 years,569.0,1519.41,13.98
36203,E,C,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,8 years,764.0,21000.0,14.49
15381,E,D,RENT,w,house, 36 months,Not Verified,< 1 year,674.0,13475.0,17.86
83131,I,F,MORTGAGE,w,major_purchase, 60 months,Verified,< 1 year,664.0,15000.0,24.99
39847,E,E,RENT,w,debt_consolidation, 60 months,Verified,5 years,529.0,653.19,22.15
10573,E,C,RENT,w,debt_consolidation, 36 months,Verified,6 years,584.0,914.16,14.31
8115,E,C,MORTGAGE,w,debt_consolidation, 36 months,Source Verified,4 years,554.0,1764.26,12.39
11854,I,D,RENT,f,credit_card, 36 months,Source Verified,8 years,609.0,17125.0,15.99
23310,I,C,OWN,w,home_improvement, 36 months,Source Verified,,579.0,1735.34,13.66
849,I,F,RENT,f,house, 60 months,Source Verified,5 years,509.0,470.82,23.99
61303,I,C,RENT,w,debt_consolidation, 36 months,Not Verified,3 years,579.0,3808.36,13.98
50299,I,D,MORTGAGE,w,credit_card, 60 months,Verified,10+ years,594.0,5114.29,15.61
33584,I,D,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,10+ years,549.0,6700.69,16.29
71237,W,C,MORTGAGE,f,debt_consolidation, 36 months,Source Verified,6 years,624.0,969.68,14.49
48522,E,C,RENT,w,debt_consolidation, 36 months,Not Verified,5 years,514.0,2000.0,14.99
69360,E,D,MORTGAGE,w,credit_card, 36 months,Verified,10+ years,509.0,20090.86,16.29
63882,I,D,RENT,w,credit_card, 60 months,Source Verified,10+ years,499.0,3380.95,18.24
75687,E,E,MORTGAGE,w,debt_consolidation, 60 months,Verified,10+ years,559.0,1863.96,22.15
55101,E,D,MORTGAGE,f,debt_consolidation, 36 months,Verified,,694.0,8418.95,16.99
59100,E,D,MORTGAGE,w,debt_consolidation, 60 months,Verified,10+ years,714.0,10000.0,18.24
95407,E,D,MORTGAGE,w,debt_consolidation, 60 months,Not Verified,4 years,539.0,549.83,16.99
61668,E,A,MORTGAGE,f,debt_consolidation, 36 months,Source Verified,10+ years,679.0,8171.67,6.03
81256,W,A,MORTGAGE,f,credit_card, 36 months,Not Verified,2 years,694.0,7500.0,8.39
63825,W,C,RENT,f,credit_card, 36 months,Verified,10+ years,714.0,14400.0,13.35
63818,E,A,RENT,w,credit_card, 36 months,Not Verified,5 years,804.0,16500.0,8.39
42359,I,B,MORTGAGE,w,credit_card, 60 months,Source Verified,1 year,729.0,20000.0,10.99
94489,E,D,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,7 years,579.0,6325.5,18.24
41030,E,C,OWN,w,debt_consolidation, 36 months,Source Verified,2 years,519.0,4028.11,14.49
84309,I,C,RENT,f,debt_consolidation, 36 months,Verified,3 years,584.0,15000.0,13.35
99034,E,E,RENT,f,debt_consolidation, 36 months,Source Verified,6 years,564.0,4548.35,20.99
83872,W,A,RENT,w,credit_card, 36 months,Not Verified,4 years,769.0,6000.0,6.03
26452,E,C,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,7 years,769.0,17000.0,14.31
98095,E,E,RENT,f,moving, 36 months,Verified,< 1 year,609.0,20000.0,20.99
72846,E,F,RENT,w,debt_consolidation, 60 months,Not Verified,1 year,654.0,374.85,24.08
60182,W,C,OWN,w,debt_consolidation, 60 months,Source Verified,9 years,529.0,3469.74,14.49
61425,E,B,RENT,w,debt_consolidation, 36 months,Source Verified,10+ years,499.0,7616.63,10.15
5439,I,B,MORTGAGE,f,credit_card, 36 months,Verified,9 years,644.0,788.28,11.44
69375,E,B,RENT,f,debt_consolidation, 36 months,Not Verified,10+ years,739.0,7200.0,11.67
48743,E,C,MORTGAGE,w,debt_consolidation, 36 months,Verified,,0.0,10800.0,12.99
61997,I,D,OWN,w,other, 36 months,Not Verified,1 year,569.0,2000.0,16.29
36176,I,C,OWN,f,credit_card, 36 months,Not Verified,3 years,534.0,8000.0,12.99
77471,E,C,MORTGAGE,w,debt_consolidation, 36 months,Verified,3 years,649.0,1699.0,13.98
83027,I,E,MORTGAGE,f,debt_consolidation, 36 months,Verified,5 years,504.0,2149.57,18.99
64676,E,B,RENT,w,credit_card, 36 months,Not Verified,3 years,499.0,4573.97,10.99
35613,E,E,MORTGAGE,f,home_improvement, 60 months,Source Verified,10+ years,499.0,1543.64,20.2
57485,W,C,RENT,w,debt_consolidation, 60 months,Source Verified,1 year,624.0,1627.56,13.35
73912,E,C,OWN,f,debt_consolidation, 60 months,Verified,10+ years,574.0,5636.25,14.49
59352,I,B,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,10+ years,719.0,6000.0,11.67
67921,I,D,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,10+ years,544.0,4372.34,16.29
2768,E,D,MORTGAGE,w,credit_card, 60 months,Verified,10+ years,534.0,4988.81,15.99
45598,I,A,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,5 years,744.0,15000.0,7.69
86217,E,B,RENT,f,debt_consolidation, 36 months,Source Verified,1 year,564.0,9686.65,11.67
48965,W,C,RENT,w,vacation, 36 months,Not Verified,8 years,499.0,4443.78,14.99
75845,I,C,RENT,w,debt_consolidation, 36 months,Source Verified,3 years,694.0,5675.0,14.99
80278,I,B,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,6 years,719.0,7800.0,10.99
2169,E,C,RENT,f,debt_consolidation, 36 months,Not Verified,10+ years,694.0,7000.0,13.66
62569,E,F,RENT,f,small_business, 36 months,Verified,10+ years,669.0,14700.0,24.99
55568,I,B,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,3 years,544.0,7128.86,12.49
14948,I,C,RENT,w,debt_consolidation, 36 months,Not Verified,3 years,549.0,1277.26,12.39
53891,W,F,OWN,w,debt_consolidation, 60 months,Verified,10+ years,514.0,1500.41,24.5
76752,I,E,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,10+ years,614.0,1886.09,20.99
76828,I,A,MORTGAGE,f,home_improvement, 36 months,Verified,10+ years,764.0,30000.0,7.12
85936,I,B,RENT,f,debt_consolidation, 36 months,Not Verified,10+ years,709.0,9600.0,10.99
37134,W,D,MORTGAGE,w,debt_consolidation, 60 months,Source Verified,< 1 year,719.0,21000.0,16.99
32516,E,C,RENT,w,debt_consolidation, 36 months,Not Verified,5 years,589.0,16000.0,12.99
60315,I,D,MORTGAGE,w,debt_consolidation, 60 months,Verified,5 years,549.0,3417.04,17.57
33325,W,C,OWN,w,debt_consolidation, 36 months,Source Verified,6 years,629.0,945.78,13.35
29945,W,B,RENT,w,debt_consolidation, 36 months,Not Verified,3 years,604.0,1959.68,10.49
58954,W,A,RENT,f,credit_card, 36 months,Source Verified,4 years,599.0,8200.0,6.49
6242,I,D,MORTGAGE,w,credit_card, 60 months,Verified,10+ years,564.0,8798.11,17.86
30071,W,A,RENT,w,debt_consolidation, 36 months,Source Verified,10+ years,739.0,17000.0,6.99
42192,E,C,RENT,w,debt_consolidation, 36 months,Not Verified,10+ years,524.0,808.11,13.98
5413,I,A,RENT,f,debt_consolidation, 36 months,Not Verified,3 years,759.0,6000.0,6.49
11741,I,C,RENT,f,credit_card, 36 months,Source Verified,< 1 year,789.0,2900.0,13.66
89389,I,G,MORTGAGE,f,debt_consolidation, 60 months,Verified,10+ years,614.0,621.01,25.83
91685,I,B,OWN,w,debt_consolidation, 36 months,Source Verified,2 years,669.0,28000.0,10.99
97368,W,A,RENT,f,debt_consolidation, 36 months,Not Verified,3 years,819.0,15000.0,7.12
78832,I,D,MORTGAGE,f,debt_consolidation, 36 months,Verified,3 years,529.0,3859.56,17.57
55084,W,A,MORTGAGE,w,credit_card, 36 months,Not Verified,7 years,704.0,10000.0,6.49
52218,W,E,RENT,w,debt_consolidation, 60 months,Source Verified,9 years,624.0,955.57,20.2
46170,E,A,RENT,w,credit_card, 36 months,Not Verified,10+ years,574.0,5427.46,7.69
2137,I,C,OWN,f,debt_consolidation, 36 months,Source Verified,7 years,689.0,7200.0,13.66
53519,E,C,OWN,w,debt_consolidation, 36 months,Source Verified,10+ years,754.0,21000.0,13.98
98040,E,C,MORTGAGE,f,debt_consolidation, 60 months,Verified,10+ years,764.0,23800.0,14.99
25698,E,G,OWN,w,debt_consolidation, 60 months,Verified,10+ years,499.0,1414.49,25.8
36714,W,C,RENT,f,debt_consolidation, 36 months,Source Verified,1 year,734.0,6000.0,13.35
18747,E,C,RENT,w,debt_consolidation, 60 months,Verified,9 years,559.0,4640.01,12.39
3294,E,D,RENT,f,debt_consolidation, 36 months,Source Verified,2 years,499.0,5525.46,15.99
24910,E,E,MORTGAGE,f,debt_consolidation, 60 months,Verified,10+ years,609.0,4487.57,19.99
28097,I,B,OWN,w,medical, 36 months,Not Verified,10+ years,624.0,1675.0,8.67
3258,I,D,RENT,f,major_purchase, 36 months,Not Verified,< 1 year,554.0,883.95,15.59
39878,I,D,MORTGAGE,w,debt_consolidation, 36 months,Verified,2 years,599.0,16000.0,16.99
23787,E,C,RENT,w,debt_consolidation, 60 months,Verified,3 years,549.0,6807.76,12.99
2289,E,A,MORTGAGE,f,debt_consolidation, 36 months,Not Verified,10+ years,699.0,15000.0,8.19
88102,W,G,RENT,f,credit_card, 36 months,Verified,,574.0,1213.13,25.8
76873,I,A,RENT,f,debt_consolidation, 36 months,Source Verified,1 year,734.0,14400.0,6.03
10621,I,C,RENT,w,debt_consolidation, 36 months,Verified,,534.0,1586.69,12.99
74023,W,B,RENT,f,credit_card, 36 months,Source Verified,1 year,724.0,10000.0,10.99
14433,E,E,MORTGAGE,f,debt_consolidation, 36 months,Verified,10+ years,669.0,1481.81,18.54
33629,I,C,MORTGAGE,w,other, 36 months,Source Verified,10+ years,629.0,8000.0,14.99
28970,E,A,RENT,w,credit_card, 36 months,Verified,,629.0,1227.12,6.99
